iter	Passed	Remaining
586	447579	314906
587	448318	314127
588	449044	313339
589	449767	312550
590	450597	311834
591	451268	311009
592	451969	310204
593	452722	309436
594	453388	308608
595	454060	307786
596	454767	306987
597	455539	306232
598	456233	305424
599	456904	304602
600	457656	303834
601	458480	303114
602	459155	302296
603	459885	301514
604	460598	300721
605	461261	299896
606	461976	299105
607	462643	298283
608	463310	297462
609	464012	296663
610	464681	295844
611	465389	295050
612	466114	294267
613	466849	293491
614	467787	292842
615	468450	292021
616	469186	291245
617	469864	290433
618	470599	289658
619	471489	288977
620	472158	288161
621	472974	287434
622	473689	286647
623	474387	285848
624	475134	285080
625	475870	284305
626	476664	283565
627	477385	282782
628	478117	282005
629	478836	281221
630	479582	280452
631	480353	279699
632	481089	278925
633	481837	278158
634	482539	277365
635	483292	276601
636	484008	275816
637	484714	275026
638	485498	274280
639	486221	273499
640	486995	272747
641	487733	271975
642	488457	271196
643	489200	270427
644	489960	269667
645	490647	268868
646	491395	268102
647	492136	267333
648	492957	266607
649	493809	265897
650	494537	265120
651	495325	264376
652	496104	263626
653	496819	262843
654	497516	262050
655	498217	261260
656	498972	260498
657	499651	259697
658	500339	258901
659	501017	258100
660	501871	257389
661	502568	256598
662	503497	255925
663	504275	255175
664	505005	254401
665	505732	253625
666	506405	252823
667	507074	252019
668	507755	251221
669	508466	250438
670	509182	249658
671	509882	248871
672	510555	248070
673	511260	247286
674	512032	246534
675	512703	245733
676	513451	244970
677	514283	244246
678	515018	243476
679	515722	242692
680	516392	241892
681	517092	241107
682	517790	240321
683	518593	239584
684	519276	238791
685	520001	238018
686	520815	237285
687	521659	236566
688	522443	235820
689	523236	235077
690	523950	234298
691	524649	233514
692	525374	232741
693	526074	231957
694	526829	231198
695	527572	230433
696	528292	229659
697	528971	228867
698	529674	228085
699	530450	227335
700	531157	226556
701	531907	225795
702	532629	225022
703	533399	224270
704	534114	223494
705	534823	222716
706	535656	221990
707	536382	221220
708	537056	220427
709	537724	219633
710	538392	218840
711	539105	218065
712	539866	217309
713	540617	216549
714	541319	215770
715	542037	214998
716	542728	214214
717	543465	213450
718	544197	212683
719	544872	211894
720	545552	211108
721	546320	210356
722	547110	209612
723	547803	208831
724	548552	208071
725	549367	207336
726	550172	206598
727	550888	205826
728	551631	205064
729	552320	204282
730	552985	203492
731	553747	202738
732	554520	201987
733	555360	201261
734	556371	200596
735	557083	199823
736	557793	199049
737	558508	198278
738	559229	197508
739	559978	196749
740	560741	195994
741	561482	195232
742	562189	194458
743	562909	193689
744	563614	192915
745	564311	192138
746	565111	191396
747	565778	190609
748	566555	189860
749	567267	189089
750	568032	188335
751	568748	187565
752	569654	186858
753	570480	186124
754	571215	185361
755	571943	184595
756	572681	183833
757	573354	183049
758	574061	182277
759	574767	181505
760	575442	180723
761	576230	179977
762	576953	179210
763	577731	178461
764	578496	177707
765	579294	176964
766	580085	176218
767	580806	175451
768	581536	174687
769	582278	173927
770	582945	173144
771	583663	172377
772	584473	171637
773	585270	170892
774	585976	170122
775	586653	169343
776	587382	168579
777	588043	167796
778	588827	167048
779	589610	166300
780	590370	165545
781	591107	164784
782	591792	164008
783	592528	163247
784	593318	162501
785	593993	161723
786	594777	160975
787	595542	160221
788	596223	159446
789	596989	158693
790	597716	157930
791	598446	157167
792	599346	156449
793	600042	155678
794	600859	154938
795	601622	154184
796	602288	153405
797	602987	152635
798	603670	151862
799	604341	151085
800	605066	150322
801	605746	149548
802	606463	148783
803	607224	148029
804	607919	147260
805	608592	146484
806	609308	145720
807	610066	144966
808	610790	144203
809	611520	143442
810	612251	142682
811	613001	141926
812	613712	141161
813	614379	140386
814	615127	139630
815	615883	138875
816	616630	138119
817	617372	137361
818	618073	136595
819	618868	135849
820	619544	135077
821	620294	134321
822	621011	133559
823	621767	132804
824	622541	132054
825	623270	131294
826	623937	130521
827	624604	129748
828	625298	128981
829	625974	128211
830	626677	127447
831	627387	126683
832	628082	125918
833	628754	125147
834	629480	124388
835	630215	123630
836	630928	122869
837	631660	122110
838	632382	121351
839	633126	120595
840	633907	119847
841	634695	119099
842	635362	118329
843	636055	117564
844	636718	116794
845	637454	116037
846	638254	115292
847	638985	114535
848	639781	113789
849	640523	113033
850	641227	112271
851	641935	111509
852	642628	110746
853	643373	109991
854	644097	109232
855	644824	108475
856	645559	107718
857	646272	106958
858	647032	106206
859	647719	105442
860	648497	104693
861	649185	103929
862	649861	103164
863	650591	102407
864	651322	101651
865	652045	100893
866	652773	100137
867	653450	99372
868	654161	98613
869	654918	97861
870	655589	97096
871	656363	96346
872	657175	95602
873	657889	94844
874	658614	94087
875	659300	93325
876	660114	92581
877	660869	91829
878	661548	91066
879	662275	90310
880	663004	89554
881	663815	88809
882	664569	88057
883	665346	87307
884	666042	86547
885	666773	85792
886	667442	85029
887	668125	84268
888	668910	83519
889	669649	82765
890	670421	82015
891	671133	81258
892	671815	80497
893	672535	79741
894	673253	78985
895	673950	78226
896	674622	77465
897	675363	76711
898	676129	75961
899	676900	75211
900	677673	74461
901	678380	73704
902	679124	72951
903	679842	72195
904	680569	71440
905	681351	70692
906	682020	69931
907	682725	69174
908	683452	68420
909	684227	67670
910	684929	66914
911	685725	66166
912	686393	65406
913	687176	64657
914	687854	63899
915	688583	63145
916	689295	62389
917	690028	61636
918	690752	60882
919	691468	60127
920	692197	59374
921	692893	58617
922	693622	57864
923	694322	57108
924	695028	56353
925	695755	55600
926	696424	54842
927	697086	54084
928	697763	53327
929	698488	52574
930	699221	51821
931	699929	51067
932	700687	50317
933	701357	49560
934	702039	48804
935	702733	48050
936	703416	47294
937	704198	46546
938	704922	45793
939	705594	45037
940	706303	44284
941	706977	43529
942	707671	42775
943	708342	42020
944	709063	41268
945	709793	40516
946	710558	39767
947	711263	39014
948	711985	38262
949	712717	37511
950	713441	36759
951	714205	36010
952	714917	35258
953	715636	34506
954	716422	33758
955	717091	33004
956	717823	32253
957	718559	31502
958	719289	30751
959	720148	30006
960	720837	29253
961	721582	28503
962	722305	27752
963	723015	27000
964	723688	26247
965	724434	25497
966	725143	24746
967	725810	23993
968	726502	23242
969	727269	22492
970	727947	21740
971	728734	20992
972	729443	20241
973	730117	19489
974	730871	18740
975	731626	17990
976	732299	17239
977	732993	16488
978	733716	15738
979	734446	14988
980	735176	14238
981	735904	13489
982	736725	12740
983	737444	11990
984	738137	11240
985	738866	10491
986	739587	9741
987	740416	8992
988	741124	8243
989	741869	7493
990	742540	6743
991	743310	5994
992	744022	5244
993	744687	4495
994	745462	3746
995	746144	2996
996	746811	2247
997	747483	1497
998	748150	748
999	748857	0
